City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,roma,43.2128,-75.4557,23.74,73,81,0.45,US,1722818946
141,sao francisco do sul,-26.2433,-48.6381,19.42,100,75,4.63,BR,1722818948
142,east ballina,-28.8667,153.5833,17.67,63,100,0.37,AU,1722818949
143,tafuna,-14.3358,-170.72,29.97,66,40,3.6,AS,1722818950
144,nantucket,41.2835,-70.0995,25.56,91,0,6.69,US,1722818651
145,polyarnyy,69.1989,33.4478,7.6,86,4,0.37,RU,1722818952
146,ezanville,49.0279,2.3679,17.09,79,0,1.03,FR,1722818953
147,acapulco de juarez,16.8634,-99.8901,29.9,70,75,1.54,MX,1722818762
148,mildura,-34.2,142.15,10.6,90,100,4.81,AU,1722818955
149,new norfolk,-42.7826,147.0587,13.17,52,7,3.7,AU,1722818957
150,hadibu,12.65,54.0333,25.34,83,100,9.91,YE,1722818958
151,rio grande,-32.035,-52.0986,15.06,96,100,8.29,BR,1722818681
152,wailua homesteads,22.0669,-159.378,28.44,72,20,6.17,US,1722818890
153,pokaran,26.9167,71.9167,27.49,79,100,3.87,IN,1722818962
154,nieuw amsterdam,5.8833,-55.0833,27.09,83,20,1.54,SR,1722818963
155,kingston,17.997,-76.7936,30.53,70,20,7.72,JM,1722818162
156,brookings,44.3114,-96.7984,21.14,94,75,4.12,US,1722818965
157,kearney,40.6995,-99.0815,32.4,57,0,5.14,US,1722818528
158,piacabucu,-10.4056,-36.4344,23.64,71,0,4.12,BR,1722818968
159,pipraich,26.8264,83.53,27.72,85,100,1.92,IN,1722818969
160,montego bay,18.4712,-77.9188,29.89,79,20,2.57,JM,1722818897
161,dzilam gonzalez,21.2833,-88.9333,26.24,84,7,1.38,MX,1722818971
162,mawu,34.4307,104.9176,16.94,86,72,2.48,CN,1722818972
163,timmins,48.4669,-81.3331,20.9,37,40,3.6,CA,1722818827
164,freetown,8.484,-13.2299,25.84,83,75,3.6,SL,1722818975
165,gravenhurst,44.9168,-79.3663,24.76,64,0,2.57,CA,1722818976
166,port lincoln,-34.7333,135.8667,12.73,70,8,1.86,AU,1722818977
167,manta,-0.95,-80.7333,23.88,78,75,5.66,EC,1722818978
168,sisimiut,66.9395,-53.6735,8.89,76,100,0.83,GL,1722818979
169,dwarka,22.2394,68.9678,27.9,86,100,7.54,IN,1722818980
170,beitbridge,-22.2167,30.0,18.21,20,0,1.76,ZW,1722818981
171,delta,5.5,6.0,22.77,94,100,1.16,NG,1722818982
172,sefaatli,39.5043,34.7563,18.79,57,0,1.96,TR,1722818984
173,santa cruz,-17.8,-63.1667,23.7,83,20,3.09,BO,1722818921
174,broome,42.2506,-75.833,23.33,79,0,1.51,US,1722818986
175,cooper's town,26.8667,-77.5167,29.17,78,100,8.29,BS,1722818987
176,zag,46.9441,99.165,15.73,56,0,0.7,MN,1722818988
177,al ghayzah,16.2079,52.176,24.61,85,27,3.58,YE,1722818989
178,port elizabeth,-33.918,25.5701,11.16,57,0,7.72,ZA,1722818991
179,nalut,30.3333,10.85,24.47,65,0,5.07,LY,1722818992
180,arraial do cabo,-22.9661,-42.0278,22.48,90,0,11.11,BR,1722818857
181,vrangel',42.7297,133.0839,18.71,76,100,6.56,RU,1722818860
182,berbera,10.4396,45.0143,31.85,51,82,3.51,SO,1722818995
183,markaz-e hukumat-e darweshan,31.1323,64.1934,30.4,48,43,5.66,AF,1722818997
184,tekeli,44.83,78.8239,24.54,29,77,3.15,KZ,1722818998
185,palembang,-2.9167,104.7458,25.86,84,5,2.59,ID,1722818999
186,inhambane,-23.865,35.3833,18.58,77,50,5.43,MZ,1722819001
187,i-n-salah,27.1935,2.4607,36.69,11,2,5.1,DZ,1722819002
188,keetmanshoop,-26.5833,18.1333,6.05,91,15,3.07,NA,1722819003
189,sinabang,2.4803,96.3801,26.93,83,57,1.52,ID,1722819005
190,horta,38.5333,-28.6333,24.45,95,31,3.13,PT,1722819006
191,constantia,44.1833,28.65,19.38,72,5,4.22,RO,1722819007
192,howard springs,-12.497,131.047,26.95,86,31,3.36,AU,1722819008
193,acarau,-2.8856,-40.12,25.0,83,4,7.09,BR,1722819010
194,pisco,-13.7,-76.2167,16.68,88,0,3.6,PE,1722819011
195,oswestry,52.862,-3.055,16.82,95,18,3.14,GB,1722819012
196,shafter,35.5005,-119.2718,41.86,11,100,4.31,US,1722819013
197,khor,47.8861,134.9464,21.53,87,100,3.01,RU,1722819014
198,broken hill,-31.95,141.4333,10.76,83,100,3.58,AU,1722819015
199,turgen,43.4006,77.5933,21.07,30,100,2.8,KZ,1722819016
200,kurumkan,54.3,110.3,22.08,54,2,0.93,RU,1722819017
201,pushkar,26.5,74.55,25.58,89,96,4.18,IN,1722819018
202,san patricio,28.017,-97.5169,31.94,58,5,5.07,US,1722819020
203,remire-montjoly,4.9167,-52.2667,27.02,89,0,1.03,GF,1722819021
204,altay,47.8667,88.1167,24.08,23,6,0.99,CN,1722819022
205,pervomayskoye,43.919,46.7102,22.53,75,0,3.28,RU,1722819023
206,santana,-0.0583,-51.1817,29.1,84,20,5.66,BR,1722819024
207,gaitania,3.0906,-75.6723,14.36,95,98,2.31,CO,1722819025
208,keflavik,64.0049,-22.5624,11.95,87,100,8.23,IS,1722819026
209,nago,26.5881,127.9761,32.86,73,91,5.78,JP,1722819027
210,san pedro,14.35,121.0167,27.97,87,75,5.14,PH,1722819029
